result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,status
2018_1_1,201801,vettel,ferrari,5,3,1,1,1,25,58,Finished
2018_1_2,201801,hamilton,mercedes,44,1,2,2,2,18,58,Finished
2018_1_3,201801,raikkonen,ferrari,7,2,3,3,3,15,58,Finished
2018_1_4,201801,ricciardo,red_bull,3,8,4,4,4,12,58,Finished
2018_1_5,201801,alonso,mclaren,14,10,5,5,5,10,58,Finished
2018_1_6,201801,max_verstappen,red_bull,33,4,6,6,6,8,58,Finished
2018_1_7,201801,hulkenberg,renault,27,7,7,7,7,6,58,Finished
2018_1_8,201801,bottas,mercedes,77,15,8,8,8,4,58,Finished
2018_1_9,201801,vandoorne,mclaren,2,11,9,9,9,2,58,Finished
2018_1_10,201801,sainz,renault,55,9,10,10,10,1,58,Finished
2018_1_11,201801,perez,force_india,11,12,11,11,11,0,58,Finished
2018_1_12,201801,ocon,force_india,31,14,12,12,12,0,58,Finished
2018_1_13,201801,leclerc,sauber,16,18,13,13,13,0,58,Finished
2018_1_14,201801,stroll,williams,18,13,14,14,14,0,58,Finished
2018_1_15,201801,brendon_hartley,toro_rosso,28,16,15,15,15,0,57,+1 Lap
2018_1_16,201801,grosjean,haas,8,6,16,R,16,0,24,Wheel
2018_1_17,201801,kevin_magnussen,haas,20,5,17,R,17,0,22,Wheel
2018_1_18,201801,gasly,toro_rosso,10,20,18,R,18,0,13,Engine
2018_1_19,201801,ericsson,sauber,9,17,19,R,19,0,5,Steering
2018_1_20,201801,sirotkin,williams,35,19,20,R,20,0,4,Brakes
2018_2_1,201802,vettel,ferrari,5,1,1,1,1,25,57,Finished
2018_2_2,201802,bottas,mercedes,77,3,2,2,2,18,57,Finished
2018_2_3,201802,hamilton,mercedes,44,9,3,3,3,15,57,Finished
2018_2_4,201802,gasly,toro_rosso,10,5,4,4,4,12,57,Finished
2018_2_5,201802,kevin_magnussen,haas,20,6,5,5,5,10,57,Finished
2018_2_6,201802,hulkenberg,renault,27,7,6,6,6,8,57,Finished
2018_2_7,201802,alonso,mclaren,14,13,7,7,7,6,56,+1 Lap
2018_2_8,201802,vandoorne,mclaren,2,14,8,8,8,4,56,+1 Lap
2018_2_9,201802,ericsson,sauber,9,17,9,9,9,2,56,+1 Lap
2018_2_10,201802,ocon,force_india,31,8,10,10,10,1,56,+1 Lap
2018_2_11,201802,sainz,renault,55,10,11,11,11,0,56,+1 Lap
2018_2_12,201802,leclerc,sauber,16,19,12,12,12,0,56,+1 Lap
2018_2_13,201802,grosjean,haas,8,16,13,13,13,0,56,+1 Lap
2018_2_14,201802,stroll,williams,18,20,14,14,14,0,56,+1 Lap
2018_2_15,201802,sirotkin,williams,35,18,15,15,15,0,56,+1 Lap
2018_2_16,201802,perez,force_india,11,12,16,16,16,0,56,+1 Lap
2018_2_17,201802,brendon_hartley,toro_rosso,28,11,17,17,17,0,56,+1 Lap
2018_2_18,201802,raikkonen,ferrari,7,2,18,R,18,0,35,Wheel
2018_2_19,201802,max_verstappen,red_bull,33,15,19,R,19,0,3,Puncture
2018_2_20,201802,ricciardo,red_bull,3,4,20,R,20,0,1,Electrical
2018_3_1,201803,ricciardo,red_bull,3,6,1,1,1,25,56,Finished
2018_3_2,201803,bottas,mercedes,77,3,2,2,2,18,56,Finished
2018_3_3,201803,raikkonen,ferrari,7,2,3,3,3,15,56,Finished
2018_3_4,201803,hamilton,mercedes,44,4,4,4,4,12,56,Finished
2018_3_5,201803,max_verstappen,red_bull,33,5,5,5,5,10,56,Finished
2018_3_6,201803,hulkenberg,renault,27,7,6,6,6,8,56,Finished
2018_3_7,201803,alonso,mclaren,14,13,7,7,7,6,56,Finished
2018_3_8,201803,vettel,ferrari,5,1,8,8,8,4,56,Finished
2018_3_9,201803,sainz,renault,55,9,9,9,9,2,56,Finished
